n;select - comparations;select - swaps;select - time;select - comparations/n;select - swaps/n;insert - comparations;insert - swaps;insert - time;insert - comparations/n;insert - swaps/n;heap - comparations;heap - swaps;heap - time;heap - comparations/n;heap - swaps/n;quick - comparations;quick - swaps;quick - time;quick - comparations/n;quick - swaps/n;mquick - comparations;mquick - swaps;mquick - time;mquick - comparations/n;mquick - swaps/n
100;4950;96;0.000127;49;0;1714;1714;0.000034;17;17;1022;461;0.000032;10;4;966;192;0.000048;9;1;575;269;0.000016;5;2
200;19900;197;0.000571;99;0;8502;8502;0.000134;42;42;3356;1528;0.000102;16;7;3209;630;0.000102;16;3;2043;924;0.000039;10;4
300;44850;296;0.001046;149;0;24095;24095;0.000312;80;80;7182;3291;0.000219;23;10;7318;1327;0.000164;24;4;4967;1847;0.000070;16;6
400;79800;393;0.001801;199;0;42868;42868;0.000384;107;107;13652;6326;0.000411;34;15;16032;2283;0.000282;40;5;8363;3035;0.000084;20;7
500;124750;493;0.006377;249;0;65757;65757;0.000501;131;131;21996;10248;0.000672;43;20;24319;3513;0.000300;48;7;12542;4468;0.000105;25;8
600;179700;597;0.004068;299;0;92108;92108;0.000509;153;153;32362;15131;0.000981;53;25;42259;4982;0.000526;70;8;17473;6280;0.000125;29;10
700;244650;695;0.013079;349;0;121981;121981;0.000624;174;174;44730;20965;0.001297;63;29;56578;6811;0.000462;80;9;23258;8337;0.000132;33;11
800;319600;795;0.007533;399;0;157134;157134;0.000684;196;196;59008;27704;0.001702;73;34;79820;8994;0.000636;99;11;30604;10794;0.000175;38;13
900;404550;888;0.012075;449;0;193609;193609;0.000694;215;215;75412;35456;0.002140;83;39;101163;11481;0.000601;112;12;39287;13536;0.000191;43;15
1000;499500;966;0.010459;499;0;233499;233499;0.000709;233;233;93570;44035;0.002648;93;44;130604;14317;0.000791;130;14;48060;16705;0.000195;48;16
1100;604450;1092;0.013518;549;0;277813;277813;0.000765;252;252;114004;53702;0.003194;103;48;152409;17532;0.000691;138;15;58208;20218;0.000233;52;18
1200;719400;1190;0.015055;599;0;325878;325878;0.000864;271;271;136502;64351;0.003810;113;53;178740;21167;0.000789;148;17;69268;24051;0.000245;57;20
1300;844350;1267;0.016821;649;0;381420;381420;0.000926;293;293;161314;76107;0.004493;124;58;203802;25157;0.000766;156;19;81065;28352;0.000267;62;21
1400;979300;1357;0.014930;699;0;442275;442275;0.001016;315;315;188108;88804;0.005229;134;63;241639;29599;0.001019;172;21;94835;33026;0.000300;67;23
1500;1124250;1474;0.021698;749;0;508923;508923;0.001148;339;339;217212;102606;0.006017;144;68;276786;34422;0.000983;184;22;109307;38064;0.000319;72;25
1600;1279200;1579;0.025911;799;0;586012;586012;0.001342;366;366;248462;117431;0.006856;155;73;311053;39691;0.001007;194;24;128519;43694;0.000416;80;27
1700;1444150;1584;0.029154;849;0;664564;664564;0.001335;390;390;282068;133384;0.007772;165;78;353344;45380;0.001180;207;26;144840;49621;0.000361;85;29
1800;1619100;1554;0.032562;899;0;750871;750871;0.001404;417;417;317958;150429;0.008737;176;83;388357;51523;0.001051;215;28;161801;55832;0.000372;89;31
1900;1804050;1743;0.036800;949;0;838300;838300;0.001523;441;441;355904;168452;0.009740;187;88;425198;58143;0.001082;223;30;179654;62503;0.000393;94;32
2000;1999000;1706;0.039204;999;0;941680;941680;0.001754;470;470;395886;187443;0.010821;197;93;467441;65321;0.001258;233;32;199089;69648;0.000451;99;34
2100;2203950;1685;0.044503;1049;0;1039799;1039799;0.001637;495;495;438372;207636;0.011965;208;98;508457;72851;0.001238;242;34;219742;77412;0.000469;104;36
2200;2418900;1678;0.047976;1099;0;1150370;1150370;0.001988;522;522;482928;228814;0.013182;219;104;553714;80846;0.001359;251;36;242896;85837;0.000523;110;39
2300;2643850;1675;0.053858;1149;0;1270082;1270082;0.002223;552;552;529644;251022;0.014416;230;109;602580;89347;0.001428;261;38;266588;94620;0.000518;115;41
2400;2878800;1725;0.058869;1199;0;1395751;1395751;0.002111;581;581;579556;274778;0.015741;241;114;648812;98202;0.001407;270;40;290429;103578;0.000546;121;43
2500;3123750;1712;0.062399;1249;0;1531587;1531587;0.002266;612;612;632052;299776;0.016872;252;119;697720;107599;0.000463;279;43;315214;112969;0.000164;126;45
2600;3378700;1695;0.067312;1299;0;1679562;1679562;0.002420;645;645;686512;325706;0.018354;264;125;759994;117547;0.001739;292;45;340839;122740;0.000562;131;47
2700;3643650;1680;0.076682;1349;0;1826682;1826682;0.002443;676;676;742766;352483;0.019841;275;130;817190;128029;0.002990;302;47;367303;132802;0.000591;136;49
2800;3918600;1630;0.078980;1399;0;1996471;1996471;0.003096;713;713;800930;380165;0.021404;286;135;870762;139012;0.001646;310;49;396478;143424;0.000654;141;51
