n;select - comparations;select - swaps;select - time;select - comparations/n;select - swaps/n;insert - comparations;insert - swaps;insert - time;insert - comparations/n;insert - swaps/n;heap - comparations;heap - swaps;heap - time;heap - comparations/n;heap - swaps/n;quick - comparations;quick - swaps;quick - time;quick - comparations/n;quick - swaps/n;mquick - comparations;mquick - swaps;mquick - time;mquick - comparations/n;mquick - swaps/n
100;4950;89;1458967;49;0;2576;2576;1217802;25;25;1261;578;99251;12;5;1029;157;59394;10;1;769;468;201114;7;4
200;19900;190;2129291;99;0;10114;10114;297552;50;50;2916;1355;45563;14;6;2381;356;42012;11;1;1759;963;89981;8;4
300;44850;290;1605489;149;0;22555;22555;342698;75;75;4729;2212;59576;15;7;3930;576;159496;13;1;2950;1549;57999;9;5
400;79800;389;498182;199;0;40454;40454;898338;101;101;6629;3112;80910;16;7;5365;815;333513;13;2;4115;2100;76601;10;5
500;124750;490;490584;249;0;61992;61992;427522;123;123;8572;4034;102108;17;8;7009;1059;54540;14;2;5428;2647;109167;10;5
600;179700;590;1890303;299;0;90603;90603;212066;151;151;10648;5022;1351315;17;8;8999;1293;64572;14;2;6648;3192;427761;11;5
700;244650;689;955379;349;0;123639;123639;397749;176;176;12731;6013;2817187;18;8;10497;1551;198924;14;2;7963;3790;144550;11;5
800;319600;790;797372;399;0;162334;162334;418236;202;202;14870;7031;216524;18;8;12005;1824;90627;15;2;9072;4337;98683;11;5
900;404550;889;1858997;449;0;202330;202330;1318412;224;224;17014;8054;474019;18;8;14000;2063;274609;15;2;10527;4961;735267;11;5
1000;499500;989;2332578;499;0;250175;250175;1981966;250;250;19167;9081;507893;19;9;15734;2344;524877;15;2;11917;5466;127366;11;5
1100;604450;1087;3258741;549;0;306301;306301;1006101;278;278;21417;10156;163853;19;9;17276;2608;492789;15;2;13439;6117;216982;12;5
1200;719400;1189;2305043;599;0;358364;358364;1426300;298;298;23628;11212;215520;19;9;19216;2867;267295;16;2;14589;6642;113553;12;5
1300;844350;1287;2623240;649;0;425700;425700;1792684;327;327;25969;12332;199890;19;9;21136;3140;158974;16;2;16227;7251;171785;12;5
1400;979300;1387;3594191;699;0;487939;487939;3139415;348;348;28251;13423;3141858;20;9;23102;3434;150269;16;2;17653;7825;137145;12;5
1500;1124250;1488;2723863;749;0;560511;560511;1372876;373;373;30559;14528;199476;20;9;24349;3740;173804;16;2;18941;8494;160655;12;5
1600;1279200;1589;6944365;799;0;640215;640215;1654895;400;400;32906;15651;212545;20;9;26499;4020;1208938;16;2;20370;9091;179326;12;5
1700;1444150;1690;4101340;849;0;721595;721595;1812590;424;424;35241;16769;814576;20;9;28547;4274;200616;16;2;21613;9693;188156;12;5
1800;1619100;1788;7083556;899;0;817137;817137;4092857;453;453;37637;17916;1177901;20;9;30130;4581;215658;16;2;23300;10290;1007669;12;5
1900;1804050;1889;6919461;949;0;902224;902224;3773535;474;474;39965;19030;241362;21;10;31943;4890;217362;16;2;24623;10920;196999;12;5
2000;1999000;1988;5635483;999;0;1010770;1010770;3857344;505;505;42310;20153;266095;21;10;34412;5140;237027;17;2;25989;11490;216991;12;5
2100;2203950;2086;8595674;1049;0;1101646;1101646;6751137;524;524;44720;21307;1590686;21;10;36282;5445;290547;17;2;28468;12075;223134;13;5
2200;2418900;2186;5935213;1099;0;1202767;1202767;5190735;546;546;47131;22462;287470;21;10;39011;5718;265349;17;2;29684;12643;229781;13;5
2300;2643850;2287;6210923;1149;0;1315082;1315082;5828466;571;571;49606;23651;319740;21;10;39434;6035;271096;17;2;30702;13292;251025;13;5
2400;2878800;2389;13030179;1199;0;1438295;1438295;7855447;599;599;52098;24847;971507;21;10;42619;6317;293387;17;2;32457;13985;344363;13;5
2500;3123750;2487;9427862;1249;0;1579402;1579402;6669373;631;631;54636;26065;662050;21;10;44730;6607;456844;17;2;34159;14454;285537;13;5
2600;3378700;2586;13004725;1299;0;1685560;1685560;8752014;648;648;57058;27227;432498;21;10;45723;6933;408710;17;2;35488;15210;287487;13;5
2700;3643650;2689;11943936;1349;0;1825385;1825385;8458261;676;676;59631;28463;364513;22;10;49090;7184;320036;18;2;37008;15732;355207;13;5
2800;3918600;2786;13575682;1399;0;1960483;1960483;7378934;700;700;62143;29669;1570921;22;10;49857;7547;334416;17;2;39120;16463;387865;13;5
2900;4203550;2888;11668887;1449;0;2105045;2105045;8749385;725;725;64622;30859;392248;22;10;51892;7854;343602;17;2;40503;16915;794284;13;5
3000;4498500;2989;12067747;1499;0;2242811;2242811;9235753;747;747;67088;32042;641352;22;10;54612;8128;838673;18;2;41719;17631;346694;13;5
3100;4803450;3087;13220957;1549;0;2419419;2419419;9907627;780;780;69732;33313;434328;22;10;55606;8468;392422;17;2;43331;18284;354654;13;5
3200;5118400;3190;12429891;1599;0;2540649;2540649;9729797;793;793;72219;34508;444907;22;10;57902;8768;383880;18;2;44594;18898;365805;13;5
3300;5443350;3287;15503478;1649;0;2722452;2722452;8231208;824;824;74768;35731;440510;22;10;61049;9022;378087;18;2;46956;19501;344964;14;5
