insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
5.379206956;317576165;379275;0.082582059;12573838;0;0.066115852;9509763;967705;
5.322117807;317576165;379275;0.0794179;12573838;0;0.066899944;9509763;967705;
5.415293288;317576165;379275;0.093889648;12573838;0;0.060379699;9509763;967705;
5.374461742;317576165;379275;0.080934883;12573838;0;0.065731414;9509763;967705;
5.262562573;317576165;379275;0.084000737;12573838;0;0.068861634;9509763;967705;
5.491730472;317576165;379275;0.088913887;12573838;0;0.074702528;9509763;967705;
6.10357288;317576165;379275;0.087928507;12573838;0;0.069106516;9509763;967705;
6.960120481;317576165;379275;0.085749436;12573838;0;0.065882966;9509763;967705;
6.961408672;317576165;379275;0.085263768;12573838;0;0.07839039;9509763;967705;
5.658929424;317576165;379275;0.083077967;12573838;0;0.068986855;9509763;967705;
