insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
1.20247E-4;840;109;9.2452E-5;902;0;7.7824E-5;944;160;
8.192E-5;840;109;6.5244E-5;902;0;6.5243E-5;944;160;
6.1147E-5;840;109;6.4366E-5;902;0;5.7929E-5;944;160;
5.6759E-5;840;109;6.3196E-5;902;0;5.6759E-5;944;160;
5.5589E-5;840;109;6.7584E-5;902;0;6.1732E-5;944;160;
7.3728E-5;840;109;7.0217E-5;902;0;6.4951E-5;944;160;
6.1147E-5;840;109;5.8514E-5;902;0;5.7929E-5;944;160;
7.9872E-5;840;109;6.3781E-5;902;0;6.144E-5;944;160;
6.3488E-5;840;109;6.144E-5;902;0;6.1148E-5;944;160;
6.0855E-5;840;109;6.261E-5;902;0;6.027E-5;944;160;
