insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
0.117984945;8918531;2078210;0.074715987;6059926;0;0.063277033;7199801;1007621;
0.089927647;8918531;2078210;0.059201515;6059926;0;0.04701036;7199810;1007622;
0.092207363;8918531;2078210;0.075686153;6059926;0;0.04473357;7199810;1007622;
0.061528041;8918531;2078210;0.047355301;6059926;0;0.046943947;7199810;1007622;
0.084986996;8918531;2078210;0.101779126;6059926;0;0.044923449;7199810;1007622;
0.054101118;8918531;2078210;0.052983789;6059926;0;0.052716086;7199810;1007622;
0.053641781;8918531;2078210;0.053270801;6059926;0;0.050287159;7199810;1007622;
0.066674371;8918531;2078210;0.105019939;6059926;0;0.091965406;7199810;1007622;
0.054568648;8918531;2078210;0.054620433;6059926;0;0.050590262;7199810;1007622;
0.054032364;8918531;2078210;0.052918545;6059926;0;0.055354494;7199810;1007622;
0.054069228;8918531;2078210;0.053405969;6059926;0;0.050787163;7199810;1007622;
0.053994915;8918531;2078210;0.05249812;6059926;0;0.050788333;7199810;1007622;
0.054793342;8918531;2078210;0.053243299;6059926;0;0.05036352;7199810;1007622;
0.053925869;8918531;2078210;0.052922056;6059926;0;0.051091729;7199810;1007622;
0.056150581;8918531;2078210;0.051184182;6059926;0;0.050071241;7199810;1007622;
0.054134179;8918531;2078210;0.052749146;6059926;0;0.050763465;7199810;1007622;
0.056833149;8918531;2078210;0.05074357;6059926;0;0.049039049;7199810;1007622;
0.05395454;8918531;2078210;0.052983788;6059926;0;0.051055158;7199810;1007622;
0.056944619;8918531;2078210;0.049866148;6059926;0;0.048407681;7199810;1007622;
0.053743889;8918531;2078210;0.05304874;6059926;0;0.050820516;7199810;1007622;
0.058684833;8918531;2078210;0.048566839;6059926;0;0.047439855;7199810;1007622;
0.054243893;8918531;2078210;0.052592036;6059926;0;0.050711972;7199810;1007622;
0.059135394;8918531;2078210;0.04712417;6059926;0;0.046705793;7199810;1007622;
0.053963903;8918531;2078210;0.052804735;6059926;0;0.05043403;7199810;1007622;
0.060848691;8918531;2078210;0.046603686;6059926;0;0.04606038;7199810;1007622;
0.053802111;8918531;2078210;0.052705553;6059926;0;0.050709046;7199810;1007622;
0.053814399;8918531;2078210;0.052942243;6059926;0;0.044749368;7199810;1007622;
0.053682156;8918531;2078210;0.052611053;6059926;0;0.050970313;7199810;1007622;
0.053709658;8918531;2078210;0.05418099;6059926;0;0.045098699;7199810;1007622;
0.05423219;8918531;2078210;0.05234452;6059926;0;0.050232156;7199810;1007622;
0.054142663;8918531;2078210;0.05519241;6059926;0;0.044816075;7199810;1007622;
