insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
0,61564057;58202342;14563628;0,467084263;24224577;0;0,323026826;45245189;12718738;
0,556598507;58202342;14563628;0,480087304;24224577;0;0,323449884;45245189;12718738;
0,572595722;58202342;14563628;0,278573832;24224577;0;0,322048175;45245189;12718738;
0,567330901;58202342;14563628;0,268354023;24224577;0;0,306888885;45245189;12718738;
0,595319152;58202342;14563628;0,206067052;24224577;0;0,350039643;45245189;12718738;
0,535349344;58202342;14563628;0,212170675;24224577;0;0,410106584;45245189;12718738;
0,537625842;58202342;14563628;0,231163235;24224577;0;0,431864528;45245189;12718738;
0,559329075;58202342;14563628;0,229255084;24224577;0;0,393383207;45245189;12718738;
0,551789512;58202342;14563628;0,281638224;24224577;0;0,30989447;45245189;12718738;
0,557654982;58202342;14563628;0,264062587;24224577;0;0,318237141;45245189;12718738;
0,60709661;58202342;14563628;0,198512567;24224577;0;0,311849431;45245189;12718738;
0,534602703;58202342;14563628;0,21270491;24224577;0;0,412907076;45245189;12718738;
0,564665577;58202342;14563628;0,230892899;24224577;0;0,405308706;45245189;12718738;
0,559265003;58202342;14563628;0,283771654;24224577;0;0,32108503;45245189;12718738;
0,558303613;58202342;14563628;0,261702121;24224577;0;0,317337777;45245189;12718738;
0,560554657;58202342;14563628;0,204711276;24224577;0;0,356282823;45245189;12718738;
0,532112336;58202342;14563628;0,223711443;24224577;0;0,428592703;45245189;12718738;
0,547537573;58202342;14563628;0,281958004;24224577;0;0,31057265;45245189;12718738;
0,558923279;58202342;14563628;0,268756308;24224577;0;0,314204923;45245189;12718738;
0,57882164;58202342;14563628;0,202312776;24224577;0;0,335865441;45245189;12718738;
0,522755905;58202342;14563628;0,219278109;24224577;0;0,407567065;45245189;12718738;
0,587500475;58202342;14563628;0,241917278;24224577;0;0,388752974;45245189;12718738;
0,579328081;58202342;14563628;0,26542831;24224577;0;0,321989368;45245189;12718738;
0,589302422;58202342;14563628;0,201613238;24224577;0;0,328128684;45245189;12718738;
0,533496198;58202342;14563628;0,217613672;24224577;0;0,413067113;45245189;12718738;
0,556750059;58202342;14563628;0,233796962;24224577;0;0,403042156;45245189;12718738;
0,571226781;58202342;14563628;0,269370124;24224577;0;0,309674749;45245189;12718738;
0,668172337;58202342;14563628;0,202742564;24224577;0;0,332732587;45245189;12718738;
0,521618095;58202342;14563628;0,218648496;24224577;0;0,418625968;45245189;12718738;
0,559978584;58202342;14563628;0,228129563;24224577;0;0,363225248;45245189;12718738;
0,555741858;58202342;14563628;0,262029801;24224577;0;0,312447154;45245189;12718738;
0,572377757;58202342;14563628;0,200351671;24224577;0;0,339484255;45245189;12718738;
0,524396352;58202342;14563628;0,215968543;24224577;0;0,408305808;45245189;12718738;
0,56913314;58202342;14563628;0,290393713;24224577;0;0,319409182;45245189;12718738;
0,555403353;58202342;14563628;0,266284958;24224577;0;0,315818454;45245189;12718738;
0,569610324;58202342;14563628;0,206664189;24224577;0;0,370487453;45245189;12718738;
0,536477792;58202342;14563628;0,222098497;24224577;0;0,424653522;45245189;12718738;
0,565606193;58202342;14563628;0,309841514;24224577;0;0,331347554;45245189;12718738;
0,558913917;58202342;14563628;0,264440296;24224577;0;0,329410732;45245189;12718738;
0,562602364;58202342;14563628;0,203571418;24224577;0;0,365028072;45245189;12718738;
0,524531521;58202342;14563628;0,220925286;24224577;0;0,421777839;45245189;12718738;
0,556878498;58202342;14563628;0,286272846;24224577;0;0,308765144;45245189;12718738;
0,555233077;58202342;14563628;0,265172895;24224577;0;0,308321021;45245189;12718738;
0,598773248;58202342;14563628;0,210404421;24224577;0;0,360310945;45245189;12718738;
0,527798665;58202342;14563628;0,221628335;24224577;0;0,420084143;45245189;12718738;
0,563439703;58202342;14563628;0,309827178;24224577;0;0,347058342;45245189;12718738;
0,565778225;58202342;14563628;0,268830915;24224577;0;0,30618174;45245189;12718738;
0,571166511;58202342;14563628;0,202083985;24224577;0;0,343125013;45245189;12718738;
0,528270875;58202342;14563628;0,218042873;24224577;0;0,415819916;45245189;12718738;
0,559742186;58202342;14563628;0,231876816;24224577;0;0,37601354;45245189;12718738;
0,562536828;58202342;14563628;0,288289833;24224577;0;0,307835353;45245189;12718738;
0,577573238;58202342;14563628;0,20004096;24224577;0;0,334688133;45245189;12718738;
0,517798284;58202342;14563628;0,214645536;24224577;0;0,402050048;45245189;12718738;
0,581143778;58202342;14563628;0,234949107;24224577;0;0,3938285;45245189;12718738;
0,564368323;58202342;14563628;0,271109459;24224577;0;0,312892448;45245189;12718738;
0,594593867;58202342;14563628;0,200161792;24224577;0;0,322840165;45245189;12718738;
0,525346916;58202342;14563628;0,212506839;24224577;0;0,400368932;45245189;12718738;
0,560485903;58202342;14563628;0,233342305;24224577;0;0,375578487;45245189;12718738;
0,557063988;58202342;14563628;0,272297592;24224577;0;0,307616217;45245189;12718738;
0,591105832;58202342;14563628;0,200676425;24224577;0;0,326474779;45245189;12718738;
0,535181994;58202342;14563628;0,212813746;24224577;0;0,414423474;45245189;12718738;
0,568346123;58202342;14563628;0,235215932;24224577;0;0,381209021;45245189;12718738;
0,568396738;58202342;14563628;0,268533662;24224577;0;0,309457075;45245189;12718738;
0,572754881;58202342;14563628;0,199901989;24224577;0;0,329950234;45245189;12718738;
0,529126938;58202342;14563628;0,217096113;24224577;0;0,418833694;45245189;12718738;
0,552121873;58202342;14563628;0,227672273;24224577;0;0,362436768;45245189;12718738;
0,551737728;58202342;14563628;0,263631922;24224577;0;0,314424644;45245189;12718738;
0,57596117;58202342;14563628;0,201708324;24224577;0;0,340771861;45245189;12718738;
