insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
0.106667115;10798058;3160252;0.048470583;5540256;0;0.079439551;9787780;2751960;
0.097648897;10754177;3131151;0.045454758;5665173;0;0.077835089;9802896;2752120;
0.100642194;10764661;3150285;0.053331071;5582064;0;0.06045372;9723308;2752804;
0.127913059;10839212;3152877;0.045276582;5573631;0;0.077458257;9774439;2748901;
0.100043594;10803257;3156744;0.04519554;5576106;0;0.076263396;9812294;2757611;
0.107297606;10784159;3132933;0.04812535;5578338;0;0.082898914;9811384;2752612;
0.100397312;10776197;3140583;0.044465282;5590261;0;0.075047469;9750110;2750977;
0.123872943;10756868;3151939;0.044674763;5637625;0;0.078789456;9879093;2753592;
0.099747218;10782588;3143037;0.045478456;5503622;0;0.075817224;9765554;2752559;
0.09785867;10759730;3129252;0.045002443;5580131;0;0.077675345;9804255;2754678;
0.096256842;10788903;3146401;0.045251129;5701974;0;0.077524964;9834981;2752020;
0.122180417;10784593;3153110;0.044388044;5601433;0;0.079094901;9756748;2751036;
0.0966366;10768260;3142614;0.045948034;5561895;0;0.080097543;9783375;2754859;
0.113550733;10783141;3147893;0.04512269;5522467;0;0.077257846;9767547;2753626;
0.102530156;10782052;3154430;0.045572665;5628227;0;0.077340937;9850054;2753298;
0.101472512;10748191;3154045;0.045563303;5502051;0;0.075611255;9763222;2754252;
0.096705647;10778607;3137637;0.045320176;5550422;0;0.076716004;9775225;2748222;
0.100281161;10791427;3153343;0.04487693;5610840;0;0.074793518;9752254;2751285;
0.094128679;10785261;3130715;0.045624742;5759098;0;0.076599268;9914186;2752640;
0.099570798;10727772;3128707;0.044925789;5554314;0;0.078716314;9810904;2750228;
0.099224394;10767830;3142799;0.046439553;5554609;0;0.085687411;9789023;2752631;
0.10219604;10761160;3141217;0.044744688;5515071;0;0.075405577;9715370;2749189;
0.095640102;10794023;3158049;0.045403851;5571760;0;0.078497763;9782333;2754559;
0.096158832;10868586;3158149;0.045611576;5714227;0;0.075213065;9795882;2748143;
0.099745171;10750289;3156378;0.044132629;5594094;0;0.075671817;9770158;2754363;
0.099112923;10810740;3139018;0.044378973;5716571;0;0.075791478;9811212;2747060;
0.097746909;10769096;3145963;0.04473357;5583132;0;0.074509139;9700067;2755911;
0.096591836;10769616;3159407;0.045335681;5693020;0;0.076406756;9835217;2753958;
0.421419731;10746780;3136816;0.044662183;5535210;0;0.074382163;9774441;2755720;
0.106835051;10765235;3164112;0.040453251;5585211;0;0.069046247;9775473;2749003;
0.098804846;10818044;3135643;0.045502447;5568264;0;0.07752233;9731802;2750750;
0.099329134;10760719;3143633;0.046027028;5519167;0;0.07388801;9699701;2752865;
0.112988704;10745609;3161571;0.047122122;5573202;0;0.075873984;9801278;2753644;
0.101344072;10795917;3142823;0.045811987;5578101;0;0.073452956;9824090;2747521;
0.098681674;10802681;3175896;0.045079682;5640717;0;0.075202532;9788222;2756045;
0.105624684;10784564;3139787;0.045093725;5683713;0;0.074495388;9798090;2754646;
0.097626954;10800177;3143272;0.045830127;5756063;0;0.0746288;9853225;2748867;
0.100779995;10793632;3148746;0.045103672;5570108;0;0.075915237;9799038;2753650;
0.097198337;10828979;3159706;0.044273355;5728855;0;0.073487772;9819217;2748433;
0.103254271;10821253;3145429;0.046222758;5664525;0;0.07965225;9751084;2747214;
0.101107383;10790463;3155635;0.045634105;5584566;0;0.075970239;9799346;2755937;
0.097486812;10778881;3155799;0.045908537;5585860;0;0.075504173;9769792;2754054;
0.099316846;10738315;3143296;0.04501122;5603238;0;0.075313417;9800957;2753148;
0.101469878;10751605;3160876;0.044965286;5516157;0;0.075053321;9757561;2754580;
0.095657071;10796883;3154604;0.044331869;5601806;0;0.075126756;9773519;2750560;
0.099406372;10787930;3168867;0.044607765;5504166;0;0.074613293;9753953;2748968;
0.100775899;10777564;3163241;0.045554817;5698639;0;0.076323959;9837028;2751530;
0.096624312;10816889;3144926;0.045381616;5653630;0;0.07397344;9728335;2748194;
0.096762991;10797561;3164540;0.044828949;5538884;0;0.074556535;9699824;2752272;
0.103007633;10819557;3139761;0.045819009;5714730;0;0.075115346;9794351;2755072;
0.100361618;10725663;3145422;0.044483714;5568722;0;0.075753737;9748261;2747407;
0.100454363;10865419;3156613;0.044525845;5735768;0;0.074181459;9824516;2749020;
0.115216635;10725259;3131668;0.045864944;5432112;0;0.072100691;9725855;2752817;
0.095753034;10740818;3148399;0.045099576;5485135;0;0.073585198;9672969;2750417;
0.100708023;10791411;3149294;0.045701396;5595658;0;0.079156634;9772101;2754189;
0.095942329;10770894;3162759;0.045648148;5648072;0;0.075451803;9784210;2754342;
