insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
9,5963E-5;958;597;6,2611E-5;611;0;7,0802E-5;1270;535;
6,0562E-5;958;597;5,5296E-5;611;0;5,6759E-5;1270;535;
5,5881E-5;958;597;5,354E-5;611;0;5,7344E-5;1270;535;
6,6414E-5;958;597;5,3248E-5;611;0;7,8701E-5;1270;535;
6,4951E-5;958;597;5,8514E-5;611;0;5,8514E-5;1270;535;
5,7929E-5;958;597;5,4418E-5;611;0;5,5295E-5;1270;535;
5,5296E-5;958;597;5,2956E-5;611;0;5,4126E-5;1270;535;
5,7051E-5;958;597;5,2663E-5;611;0;5,471E-5;1270;535;
5,3834E-5;958;597;5,237E-5;611;0;5,4418E-5;1270;535;
5,4418E-5;958;597;5,8222E-5;611;0;4,9737E-5;1270;535;
5,0029E-5;958;597;4,9152E-5;611;0;4,9737E-5;1270;535;
5,003E-5;958;597;4,8274E-5;611;0;5,4418E-5;1270;535;
5,003E-5;958;597;4,7689E-5;611;0;4,9152E-5;1270;535;
5,003E-5;958;597;4,7397E-5;611;0;5,7929E-5;1270;535;
4,7982E-5;958;597;4,6519E-5;611;0;4,769E-5;1270;535;
4,7982E-5;958;597;4,6519E-5;611;0;4,7981E-5;1270;535;
4,7689E-5;958;597;4,6226E-5;611;0;4,7397E-5;1270;535;
5,003E-5;958;597;4,7396E-5;611;0;4,7982E-5;1270;535;
4,7396E-5;958;597;5,237E-5;611;0;4,9445E-5;1270;535;
5,0322E-5;958;597;4,7396E-5;611;0;4,8567E-5;1270;535;
4,7982E-5;958;597;4,5934E-5;611;0;5,0322E-5;1270;535;
4,7981E-5;958;597;4,6519E-5;611;0;5,5589E-5;1270;535;
5,1492E-5;958;597;6,261E-5;611;0;6,4658E-5;1270;535;
5,6174E-5;958;597;5,1492E-5;611;0;5,0908E-5;1270;535;
5,0615E-5;958;597;4,7982E-5;611;0;4,9738E-5;1270;535;
4,9737E-5;958;597;4,769E-5;611;0;4,8567E-5;1270;535;
4,9152E-5;958;597;4,7104E-5;611;0;4,7981E-5;1270;535;
4,8859E-5;958;597;4,6811E-5;611;0;4,7982E-5;1270;535;
4,7982E-5;958;597;4,6226E-5;611;0;4,7689E-5;1270;535;
4,9152E-5;958;597;4,6811E-5;611;0;4,7396E-5;1270;535;
4,7689E-5;958;597;4,6226E-5;611;0;4,7397E-5;1270;535;
4,8275E-5;958;597;4,5933E-5;611;0;4,6811E-5;1270;535;
4,769E-5;958;597;8,3091E-5;611;0;6,144E-5;1270;535;
5,5589E-5;958;597;5,1493E-5;611;0;5,1493E-5;1270;535;
5,12E-5;958;597;4,7982E-5;611;0;5,12E-5;1270;535;
4,9445E-5;958;597;4,6519E-5;611;0;4,7982E-5;1270;535;
4,7982E-5;958;597;4,6518E-5;611;0;4,7397E-5;1270;535;
4,7689E-5;958;597;4,8859E-5;611;0;4,7689E-5;1270;535;
4,7396E-5;958;597;4,5641E-5;611;0;4,6519E-5;1270;535;
4,7689E-5;958;597;4,5348E-5;611;0;4,6812E-5;1270;535;
4,886E-5;958;597;4,7689E-5;611;0;4,7689E-5;1270;535;
4,8567E-5;958;597;4,8566E-5;611;0;4,8275E-5;1270;535;
4,886E-5;958;597;4,7104E-5;611;0;4,8274E-5;1270;535;
5,5004E-5;958;597;4,8567E-5;611;0;4,7982E-5;1270;535;
4,8859E-5;958;597;4,8567E-5;611;0;4,769E-5;1270;535;
4,8567E-5;958;597;5,4125E-5;611;0;4,6811E-5;1270;535;
4,6811E-5;958;597;4,5348E-5;611;0;4,6519E-5;1270;535;
4,7104E-5;958;597;4,5349E-5;611;0;4,6811E-5;1270;535;
4,6227E-5;958;597;4,5056E-5;611;0;5,9685E-5;1270;535;
5,5296E-5;958;597;4,7982E-5;611;0;4,7981E-5;1270;535;
4,8274E-5;958;597;4,6226E-5;611;0;4,7397E-5;1270;535;
4,7982E-5;958;597;4,6226E-5;611;0;4,6812E-5;1270;535;
4,7396E-5;958;597;4,6519E-5;611;0;4,6811E-5;1270;535;
4,6812E-5;958;597;4,5641E-5;611;0;4,6812E-5;1270;535;
4,7689E-5;958;597;5,7051E-5;611;0;4,6811E-5;1270;535;
4,7982E-5;958;597;4,5934E-5;611;0;4,6518E-5;1270;535;
4,7104E-5;958;597;4,5934E-5;611;0;4,7104E-5;1270;535;
4,7396E-5;958;597;4,5641E-5;611;0;4,6226E-5;1270;535;
4,6519E-5;958;597;4,6226E-5;611;0;4,6519E-5;1270;535;
4,6519E-5;958;597;4,5641E-5;611;0;4,5934E-5;1270;535;
4,7981E-5;958;597;4,5348E-5;611;0;4,6519E-5;1270;535;
4,5934E-5;958;597;4,5641E-5;611;0;4,6519E-5;1270;535;
4,6226E-5;958;597;4,5641E-5;611;0;4,6226E-5;1270;535;
4,6519E-5;958;597;4,5348E-5;611;0;4,6226E-5;1270;535;
4,6811E-5;958;597;4,5056E-5;611;0;4,6226E-5;1270;535;
4,6519E-5;958;597;4,5056E-5;611;0;4,6226E-5;1270;535;
6,9632E-5;958;597;5,1492E-5;611;0;4,9444E-5;1270;535;
4,8567E-5;958;597;4,7104E-5;611;0;4,8274E-5;1270;535;
4,886E-5;958;597;4,769E-5;611;0;4,7982E-5;1270;535;
4,769E-5;958;597;4,6519E-5;611;0;4,6811E-5;1270;535;
4,769E-5;958;597;4,5641E-5;611;0;4,7104E-5;1270;535;
4,7689E-5;958;597;4,7397E-5;611;0;4,7689E-5;1270;535;
4,8274E-5;958;597;4,5934E-5;611;0;4,6519E-5;1270;535;
4,7104E-5;958;597;4,5934E-5;611;0;4,7982E-5;1270;535;
4,6811E-5;958;597;4,5348E-5;611;0;4,6226E-5;1270;535;
4,6812E-5;958;597;4,5348E-5;611;0;4,6519E-5;1270;535;
4,6812E-5;958;597;4,5641E-5;611;0;4,6519E-5;1270;535;
4,6519E-5;958;597;4,5056E-5;611;0;4,6227E-5;1270;535;
4,6226E-5;958;597;4,5349E-5;611;0;4,6519E-5;1270;535;
4,6519E-5;958;597;4,5349E-5;611;0;4,7104E-5;1270;535;
4,6519E-5;958;597;4,5349E-5;611;0;4,6811E-5;1270;535;
4,6811E-5;958;597;4,5641E-5;611;0;4,7982E-5;1270;535;
4,6519E-5;958;597;4,4764E-5;611;0;4,6519E-5;1270;535;
4,7396E-5;958;597;4,7104E-5;611;0;4,7689E-5;1270;535;
4,6811E-5;958;597;4,5349E-5;611;0;4,7104E-5;1270;535;
4,5934E-5;958;597;4,6226E-5;611;0;4,7397E-5;1270;535;
4,6811E-5;958;597;4,6519E-5;611;0;4,7396E-5;1270;535;
4,6812E-5;958;597;4,5934E-5;611;0;4,7104E-5;1270;535;
4,7104E-5;958;597;4,5641E-5;611;0;4,6519E-5;1270;535;
4,6812E-5;958;597;4,5641E-5;611;0;4,6226E-5;1270;535;
4,6519E-5;958;597;4,5641E-5;611;0;4,6226E-5;1270;535;
4,7104E-5;958;597;4,5641E-5;611;0;4,6811E-5;1270;535;
4,7689E-5;958;597;4,5934E-5;611;0;4,6811E-5;1270;535;
4,7104E-5;958;597;4,6226E-5;611;0;4,6226E-5;1270;535;
4,6812E-5;958;597;4,5641E-5;611;0;4,7689E-5;1270;535;
4,7396E-5;958;597;4,5933E-5;611;0;4,6226E-5;1270;535;
4,6519E-5;958;597;4,5641E-5;611;0;4,6519E-5;1270;535;
4,6519E-5;958;597;4,5348E-5;611;0;4,6518E-5;1270;535;
4,6812E-5;958;597;4,5641E-5;611;0;4,7982E-5;1270;535;
4,6226E-5;958;597;4,5348E-5;611;0;4,6519E-5;1270;535;
