insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
0.141191994;28878615;14580045;0.078309932;20186563;9162265;0.145680331;26171327;10115982;
0.107094855;28878615;14580045;0.085493729;20186563;9162265;0.103127295;26171327;10115982;
0.110009158;28878615;14580045;0.077142865;20186563;9162265;0.148614236;26171327;10115982;
0.106874256;28878615;14580045;0.077183825;20186563;9162265;0.145039014;26171327;10115982;
0.108801131;28878615;14580045;0.077466157;20186563;9162265;0.146326328;26171327;10115982;
0.105665936;28878615;14580045;0.077628242;20186563;9162265;0.123747722;26171327;10115982;
0.106322173;28878615;14580045;0.077232392;20186563;9162265;0.152430536;26171327;10115982;
0.110237071;28878615;14580045;0.076864045;20186563;9162265;0.14595681;26171327;10115982;
0.105992739;28878615;14580045;0.07717066;20186563;9162265;0.149367022;26171327;10115982;
0.107187892;28878615;14580045;0.077291784;20186563;9162265;0.146385428;26171327;10115982;
0.107118553;28878615;14580045;0.076540169;20186563;9162265;0.144241173;26171327;10115982;
0.106043353;28878615;14580045;0.077456794;20186563;9162265;0.144861423;26171327;10115982;
0.105265114;28878615;14580045;0.076948013;20186563;9162265;0.14454925;26171327;10115982;
0.106075828;28878615;14580045;0.080581456;20186563;9162265;0.147168641;26171327;10115982;
0.106621474;28878615;14580045;0.083346548;20186563;9162265;0.10096607;26171327;10115982;
0.10617267;28878615;14580045;0.075817518;20186563;9162265;0.160155004;26171327;10115982;
0.107471394;28878615;14580045;0.07804223;20186563;9162265;0.14590327;26171327;10115982;
0.109608335;28878615;14580045;0.07857705;20186563;9162265;0.14666337;26171327;10115982;
0.10834823;28878615;14580045;0.077397988;20186563;9162265;0.114581462;26171327;10115982;
0.107685264;28878615;14580045;0.077284178;20186563;9162265;0.148523246;26171327;10115982;
0.109023192;28878615;14580045;0.076286802;20186563;9162265;0.143443038;26171327;10115982;
0.106698421;28878615;14580045;0.076806116;20186563;9162265;0.145866406;26171327;10115982;
0.107218319;28878615;14580045;0.076941869;20186563;9162265;0.147075603;26171327;10115982;
0.110116531;28878615;14580045;0.076778615;20186563;9162265;0.146257573;26171327;10115982;
0.105200455;28878615;14580045;0.076911441;20186563;9162265;0.14365486;26171327;10115982;
0.106173547;28878615;14580045;0.077210156;20186563;9162265;0.145270146;26171327;10115982;
0.105904967;28878615;14580045;0.077070601;20186563;9162265;0.147044005;26171327;10115982;
0.10928124;28878615;14580045;0.085691214;20186563;9162265;0.100362203;26171327;10115982;
0.106471678;28878615;14580045;0.077609224;20186563;9162265;0.147145235;26171327;10115982;
0.10943484;28878615;14580045;0.078548378;20186563;9162265;0.144151353;26171327;10115982;
0.107839741;28878615;14580045;0.076138175;20186563;9162265;0.144577044;26171327;10115982;
0.105908185;28878615;14580045;0.077194066;20186563;9162265;0.129497919;26171327;10115982;
0.108617689;28878615;14580045;0.077701092;20186563;9162265;0.149294464;26171327;10115982;
0.105801982;28878615;14580045;0.077190847;20186563;9162265;0.143354973;26171327;10115982;
0.104776812;28878615;14580045;0.076807286;20186563;9162265;0.144994251;26171327;10115982;
0.1058052;28878615;14580045;0.076832155;20186563;9162265;0.148417336;26171327;10115982;
0.113241486;28878615;14580045;0.076070591;20186563;9162265;0.117156675;26171327;10115982;
0.106220359;28878615;14580045;0.078241178;20186563;9162265;0.147334822;26171327;10115982;
0.106242594;28878615;14580045;0.077941878;20186563;9162265;0.1453389;26171327;10115982;
0.105754;28878615;14580045;0.078724506;20186563;9162265;0.14440355;26171327;10115982;
0.106984848;28878615;14580045;0.076808164;20186563;9162265;0.123321738;26171327;10115982;
0.109243206;28878615;14580045;0.077688218;20186563;9162265;0.146205789;26171327;10115982;
0.106420477;28878615;14580045;0.077312849;20186563;9162265;0.143176212;26171327;10115982;
0.105799642;28878615;14580045;0.077711917;20186563;9162265;0.144973478;26171327;10115982;
0.10684061;28878615;14580045;0.079754064;20186563;9162265;0.144823096;26171327;10115982;
0.105461136;28878615;14580045;0.084268147;20186563;9162265;0.107141666;26171327;10115982;
0.110288563;28878615;14580045;0.082845373;20186563;9162265;0.146767819;26171327;10115982;
0.105225617;28878615;14580045;0.076460004;20186563;9162265;0.145791215;26171327;10115982;
0.109905002;28878615;14580045;0.076242038;20186563;9162265;0.144212501;26171327;10115982;
0.105080794;28878615;14580045;0.078458851;20186563;9162265;0.145301451;26171327;10115982;
0.1078886;28878615;14580045;0.077825727;20186563;9162265;0.146696723;26171327;10115982;
0.105302563;28878615;14580045;0.076867848;20186563;9162265;0.153839267;26171327;10115982;
0.108993642;28878615;14580045;0.078476113;20186563;9162265;0.149336302;26171327;10115982;
0.108363444;28878615;14580045;0.078293548;20186563;9162265;0.147102813;26171327;10115982;
0.107972861;28878615;14580045;0.076982244;20186563;9162265;0.116534961;26171327;10115982;
