insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
0.127658522;29773961;15051964;0.083063924;21598509;9834478;0.140207199;27468384;10788149;
0.126077174;29778323;15055087;0.076992484;21597487;9834343;0.142361987;27308854;10791870;
0.134943256;29775901;15054082;0.077941586;21602020;9836404;0.144034617;27718638;10794184;
0.102928054;29781329;15056165;0.072378927;21609106;9839978;0.140336808;28230572;10791353;
0.109016755;29784848;15058829;0.072887415;21609660;9840234;0.133208015;27281146;10817865;
0.106632299;29775784;15053226;0.073038383;21618953;9844559;0.130693073;28079661;10802091;
0.1043362;29755958;15043304;0.073225921;21593764;9833307;0.131568153;27402090;10795953;
0.10828445;29770420;15051389;0.072419009;21607454;9839636;0.136430981;28256449;10780844;
0.101084854;29755121;15042781;0.074667712;21592696;9832857;0.138878047;28708685;10772275;
0.101431551;29757791;15043210;0.075618861;21603481;9836950;0.128348406;27819936;10787987;
0.112853243;29771707;15051100;0.073135809;21591216;9830728;0.128541211;27348527;10805310;
0.104915198;29776736;15054512;0.072396481;21617024;9843250;0.130383532;27830036;10791788;
0.104960254;29786774;15059440;0.07316331;21600040;9835212;0.134549455;27531199;10791551;
0.106515856;29758675;15043267;0.073443594;21597407;9835315;0.126805677;27260989;10800739;
0.108045126;29764471;15048606;0.07562559;21594349;9832196;0.145495425;27438053;10796147;
0.106898539;29747305;15037937;0.074493633;21593617;9833297;0.15223071;28639098;10785617;
0.11383365;29775511;15053609;0.074191406;21590648;9831336;0.140015565;28444807;10785055;
0.107102169;29778774;15054445;0.073284435;21605439;9837550;0.127154422;27405581;10795270;
0.108826877;29785084;15058422;0.079974956;21624627;9849163;0.132329716;27910323;10790990;
0.111131754;29758226;15045672;0.073946817;21610450;9839385;0.135023128;28084148;10789571;
0.105914037;29772275;15051376;0.085551073;21608907;9840096;0.100422181;27684035;10800970;
0.104614434;29756406;15044454;0.072713336;21591976;9832405;0.127376776;27336867;10790589;
0.101075785;29781400;15056823;0.073098944;21608710;9840709;0.129017516;27398280;10801555;
0.126603802;29769604;15052039;0.072279452;21595626;9834251;0.135233487;28202401;10784163;
0.102124068;29775296;15053421;0.072625564;21589080;9830974;0.135863686;28021463;10791119;
0.102312483;29783006;15057255;0.073106844;21609609;9840372;0.13402546;27471366;10805605;
0.103809571;29769277;15050543;0.07347051;21590520;9830744;0.135714181;28080255;10794841;
0.109643444;29770939;15051112;0.072830657;21620312;9845357;0.127553782;27475784;10801007;
0.131088921;29760401;15045539;0.072792622;21584377;9828086;0.136366615;28081348;10774957;
0.107152199;29776597;15053291;0.073185253;21587321;9829635;0.131629008;27993068;10782517;
0.105724158;29779478;15055704;0.072652481;21597023;9833416;0.133642484;27980022;10796208;
0.106139025;29755189;15044257;0.0730495;21599196;9835064;0.134396733;28476722;10784745;
0.106844121;29774632;15052560;0.073045404;21622744;9847605;0.117906243;27813163;10790248;
0.106953835;29767235;15048517;0.072848796;21584711;9827844;0.132212102;27634066;10784134;
0.105642237;29776796;15054472;0.073230894;21598934;9835180;0.134165016;27952754;10791719;
0.105956459;29774812;15052437;0.071616193;21611823;9841167;0.132198352;28075297;10790033;
0.102342326;29772127;15051250;0.07342604;21602996;9837679;0.132291389;27971226;10788328;
0.369039225;29785866;15057583;0.072452655;21597224;9832835;0.133726745;28174372;10790995;
0.106060615;29796657;15066405;0.073832128;21600165;9835195;0.13400615;28466015;10798521;
0.105644578;29789262;15061323;0.073483676;21606678;9840409;0.132324743;27949423;10798886;
0.108396505;29769405;15051431;0.073906149;21612956;9843665;0.109972;27530676;10791709;
0.109026703;29770224;15049532;0.073107722;21607459;9839458;0.135514647;27746888;10789181;
0.107330082;29784448;15057316;0.073581395;21613996;9842283;0.12970974;27792083;10795562;
0.12266433;29768176;15050605;0.072031059;21598849;9835463;0.127593572;27428904;10806478;
0.103852872;29772248;15051846;0.079918489;21606442;9838186;0.101597732;28133148;10785848;
0.108654845;29771967;15051013;0.072520531;21588673;9830097;0.128002293;27601337;10786826;
0.104099217;29754090;15042752;0.073165651;21588979;9829914;0.130620222;27365731;10799432;
0.10954631;29777028;15054138;0.073593098;21610892;9839934;0.145210461;28425779;10793755;
0.125293084;29772492;15052586;0.074767479;21599546;9835052;0.135248115;27337779;10790944;
0.105756048;29776232;15052954;0.073830666;21611591;9839588;0.129335834;27826637;10804366;
0.130297516;29774851;15053386;0.074776549;21622340;9846556;0.130713552;27532444;10809528;
0.106064419;29763998;15047323;0.072278868;21587656;9830663;0.135962282;27837680;10777302;
0.131600336;29770135;15050716;0.074951506;21594815;9832577;0.137028411;27906282;10805822;
0.104545974;29772452;15051218;0.073497427;21613837;9840833;0.136224718;28602412;10790168;
0.101874797;29776638;15054102;0.072649262;21587672;9829420;0.133624052;27883034;10793350;
0.109718634;29767339;15049972;0.074166245;21596947;9834089;0.132522228;27639345;10790779;
0.103647194;29787354;15059930;0.074416101;21605630;9838721;0.129792538;27677834;10803825;
0.106983677;29784194;15059574;0.076239405;21594723;9833505;0.134193396;27740911;10799735;
0.104567331;29768082;15049113;0.074094857;21591120;9830774;0.133999128;27538355;10794873;
0.111705778;29779170;15053860;0.076655442;21609466;9839164;0.134199247;28015629;10785806;
0.104080784;29760231;15045160;0.071584303;21589827;9830803;0.134648637;27809453;10789062;
0.103214774;29791746;15061444;0.072210698;21609486;9841386;0.128468945;27382635;10800341;
0.108091352;29789948;15061184;0.072530186;21612900;9840577;0.131342873;27674953;10811058;
0.104849955;29779322;15056947;0.073482799;21604374;9837763;0.130369781;27494519;10798962;
0.125958098;29771273;15052135;0.073203393;21593329;9833211;0.139153358;28317917;10797213;
0.120947228;29761160;15045956;0.075108032;21604330;9839049;0.134239914;27868246;10801344;
0.102050925;29755696;15042843;0.076929581;21584153;9828389;0.131243691;27730143;10805958;
0.107412002;29777799;15053473;0.07294593;21596958;9834672;0.109955909;27532209;10795599;
0.111322217;29769031;15051298;0.072051247;21594324;9833115;0.13237565;27497244;10793438;
0.107562676;29777373;15054787;0.072266579;21606681;9839698;0.134263906;28000146;10795961;
0.108482813;29763124;15046634;0.072842067;21609797;9840432;0.129082467;27408013;10792801;
0.101187547;29781772;15057032;0.081508908;21609652;9840209;0.096039462;27352431;10808215;
0.108899727;29789088;15060745;0.072049784;21611808;9841075;0.136372174;27836057;10805179;
0.128326171;29767749;15050564;0.072861084;21606646;9839096;0.132748386;27369916;10792297;
0.130407815;29778811;15053352;0.072937445;21609615;9840929;0.136901143;27831603;10797213;
0.110247603;29770590;15050073;0.073584321;21602234;9836692;0.132963425;28212535;10794855;
0.10779059;29774307;15052120;0.073691694;21609413;9841466;0.136815127;27985571;10793127;
0.106950909;29766016;15049081;0.074130551;21616014;9843838;0.132965767;27795726;10784439;
0.106084314;29783797;15058024;0.071948846;21630234;9850395;0.134410483;28054206;10795127;
0.105257799;29762361;15045733;0.073932481;21598192;9834382;0.135531324;28192203;10789463;
0.104715957;29768645;15049274;0.073532535;21604703;9838026;0.137827716;27931142;10784059;
0.109533144;29776660;15054244;0.073268928;21613955;9842211;0.133818611;27450762;10792383;
0.108347645;29753397;15042050;0.072325972;21597791;9835134;0.132648619;27569796;10794949;
0.127838161;29785151;15059355;0.073371621;21606002;9838180;0.137431282;27923812;10797994;
0.104190206;29759712;15045671;0.074708379;21606759;9838811;0.137095117;28054830;10798934;
0.108576728;29774196;15052109;0.073482799;21587078;9829473;0.134410484;27773882;10793688;
0.102099492;29786989;15059951;0.072984842;21610218;9840009;0.130410448;27701915;10797288;
0.101954376;29749366;15040027;0.073135516;21605273;9838208;0.133467234;27938471;10788462;
0.106692569;29763477;15048318;0.071759553;21597185;9833883;0.135597153;27961745;10788448;
0.105269502;29782086;15057664;0.07328385;21591595;9832154;0.13015123;27577612;10798150;
0.106160089;29767945;15050597;0.072044225;21584510;9828731;0.136511438;27750979;10791645;
0.1038163;29776454;15053781;0.073435401;21604638;9837614;0.136270945;27764195;10794988;
0.109220971;29778303;15056728;0.072050369;21612708;9841470;0.13572998;27413411;10802974;
0.10374696;29772564;15051924;0.07511242;21587485;9829051;0.13508252;27797678;10787374;
0.105426613;29787342;15059020;0.072315439;21609827;9841139;0.11354927;27430811;10806602;
0.230456382;29774027;15052242;0.073033701;21609030;9840336;0.140301992;28070410;10805407;
0.103720044;29756226;15043793;0.073728851;21597725;9836087;0.132948504;27542311;10787899;
0.108745834;29790758;15061508;0.072899411;21608323;9839058;0.136717994;28259652;10787451;
0.138348786;29775620;15054783;0.073503863;21604774;9837365;0.111138483;27529062;10797640;
0.226051136;29761605;15047298;0.073226798;21608069;9837995;0.128926526;27517011;10784383;
