insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
8.7186E-5;3170;1489;6.144E-5;3089;1297;5.5881E-5;2803;1086;
5.5881E-5;3170;1489;5.3833E-5;3089;1297;5.2663E-5;2803;1086;
5.3248E-5;3170;1489;5.1493E-5;3089;1297;5.237E-5;2803;1086;
5.1493E-5;3170;1489;5.0615E-5;3089;1297;7.3143E-5;2803;1086;
6.1732E-5;3170;1489;5.7929E-5;3089;1297;5.4419E-5;2803;1086;
5.5589E-5;3170;1489;5.3833E-5;3089;1297;5.237E-5;2803;1086;
5.2663E-5;3170;1489;6.3488E-5;3089;1297;5.6758E-5;2803;1086;
7.4021E-5;3170;1489;5.7344E-5;3089;1297;5.6466E-5;2803;1086;
5.7052E-5;3170;1489;5.8221E-5;3089;1297;5.6173E-5;2803;1086;
5.7929E-5;3170;1489;5.6174E-5;3089;1297;5.5296E-5;2803;1086;
5.7929E-5;3170;1489;5.6466E-5;3089;1297;5.9977E-5;2803;1086;
5.1493E-5;3170;1489;7.3728E-5;3089;1297;6.261E-5;2803;1086;
5.9099E-5;3170;1489;5.5881E-5;3089;1297;5.3248E-5;2803;1086;
5.4419E-5;3170;1489;5.2956E-5;3089;1297;5.2078E-5;2803;1086;
5.2662E-5;3170;1489;5.2077E-5;3089;1297;5.0322E-5;2803;1086;
5.237E-5;3170;1489;5.12E-5;3089;1297;5.0614E-5;2803;1086;
5.2663E-5;3170;1489;5.12E-5;3089;1297;5.0322E-5;2803;1086;
5.1785E-5;3170;1489;5.12E-5;3089;1297;5.0322E-5;2803;1086;
5.2371E-5;3170;1489;5.12E-5;3089;1297;5.0615E-5;2803;1086;
5.1785E-5;3170;1489;5.12E-5;3089;1297;4.9737E-5;2803;1086;
5.1785E-5;3170;1489;5.2955E-5;3089;1297;5.0615E-5;2803;1086;
7.5776E-5;3170;1489;5.4418E-5;3089;1297;5.3248E-5;2803;1086;
5.354E-5;3170;1489;5.237E-5;3089;1297;5.1785E-5;2803;1086;
5.1785E-5;3170;1489;5.237E-5;3089;1297;5.12E-5;2803;1086;
5.0907E-5;3170;1489;5.1493E-5;3089;1297;5.12E-5;2803;1086;
5.237E-5;3170;1489;5.12E-5;3089;1297;6.9047E-5;2803;1086;
6.027E-5;3170;1489;5.7344E-5;3089;1297;5.4419E-5;2803;1086;
5.4419E-5;3170;1489;5.3833E-5;3089;1297;5.1785E-5;2803;1086;
5.2956E-5;3170;1489;5.1785E-5;3089;1297;5.12E-5;2803;1086;
5.237E-5;3170;1489;5.1493E-5;3089;1297;5.0907E-5;2803;1086;
5.3541E-5;3170;1489;5.12E-5;3089;1297;5.0322E-5;2803;1086;
5.2078E-5;3170;1489;5.2078E-5;3089;1297;5.0907E-5;2803;1086;
5.2663E-5;3170;1489;5.12E-5;3089;1297;5.0322E-5;2803;1086;
5.12E-5;3170;1489;5.0323E-5;3089;1297;5.003E-5;2803;1086;
5.0908E-5;3170;1489;5.0322E-5;3089;1297;5.237E-5;2803;1086;
5.12E-5;3170;1489;5.2078E-5;3089;1297;4.9445E-5;2803;1086;
5.0615E-5;3170;1489;5.0908E-5;3089;1297;5.0322E-5;2803;1086;
5.12E-5;3170;1489;5.0615E-5;3089;1297;4.9152E-5;2803;1086;
5.12E-5;3170;1489;5.0615E-5;3089;1297;5.003E-5;2803;1086;
5.1493E-5;3170;1489;5.0322E-5;3089;1297;5.0908E-5;2803;1086;
5.0908E-5;3170;1489;5.0322E-5;3089;1297;5.0907E-5;2803;1086;
5.0908E-5;3170;1489;5.12E-5;3089;1297;5.0029E-5;2803;1086;
5.12E-5;3170;1489;5.0323E-5;3089;1297;5.0323E-5;2803;1086;
5.1492E-5;3170;1489;5.0907E-5;3089;1297;5.8807E-5;2803;1086;
5.237E-5;3170;1489;5.3833E-5;3089;1297;5.2663E-5;2803;1086;
5.3541E-5;3170;1489;5.1492E-5;3089;1297;5.1492E-5;2803;1086;
5.2371E-5;3170;1489;5.1492E-5;3089;1297;5.1493E-5;2803;1086;
5.1785E-5;3170;1489;5.1492E-5;3089;1297;5.12E-5;2803;1086;
5.2663E-5;3170;1489;5.1785E-5;3089;1297;5.9685E-5;2803;1086;
5.003E-5;3170;1489;5.0615E-5;3089;1297;4.9737E-5;2803;1086;
5.0907E-5;3170;1489;5.003E-5;3089;1297;4.9445E-5;2803;1086;
5.2077E-5;3170;1489;5.0322E-5;3089;1297;5.003E-5;2803;1086;
5.0907E-5;3170;1489;5.0322E-5;3089;1297;5.003E-5;2803;1086;
5.0615E-5;3170;1489;5.0615E-5;3089;1297;4.9737E-5;2803;1086;
5.9684E-5;3170;1489;5.2078E-5;3089;1297;5.1493E-5;2803;1086;
5.1785E-5;3170;1489;5.237E-5;3089;1297;5.1492E-5;2803;1086;
5.237E-5;3170;1489;5.2956E-5;3089;1297;5.1785E-5;2803;1086;
5.237E-5;3170;1489;5.1493E-5;3089;1297;5.12E-5;2803;1086;
5.2663E-5;3170;1489;5.2078E-5;3089;1297;5.2077E-5;2803;1086;
5.237E-5;3170;1489;5.9099E-5;3089;1297;5.0029E-5;2803;1086;
5.0323E-5;3170;1489;5.003E-5;3089;1297;5.0615E-5;2803;1086;
5.0615E-5;3170;1489;5.0614E-5;3089;1297;4.9737E-5;2803;1086;
5.0322E-5;3170;1489;5.0907E-5;3089;1297;5.0029E-5;2803;1086;
5.0908E-5;3170;1489;5.0614E-5;3089;1297;4.9445E-5;2803;1086;
5.12E-5;3170;1489;5.1492E-5;3089;1297;4.9445E-5;2803;1086;
5.0908E-5;3170;1489;5.0029E-5;3089;1297;5.0615E-5;2803;1086;
5.0614E-5;3170;1489;5.003E-5;3089;1297;4.9737E-5;2803;1086;
5.0908E-5;3170;1489;5.0614E-5;3089;1297;4.9444E-5;2803;1086;
5.0322E-5;3170;1489;5.0907E-5;3089;1297;4.9737E-5;2803;1086;
5.0322E-5;3170;1489;5.0322E-5;3089;1297;4.9737E-5;2803;1086;
5.12E-5;3170;1489;5.003E-5;3089;1297;5.0323E-5;2803;1086;
5.0907E-5;3170;1489;5.0615E-5;3089;1297;5.0322E-5;2803;1086;
5.2955E-5;3170;1489;9.5086E-5;3089;1297;6.0855E-5;2803;1086;
5.8806E-5;3170;1489;5.5589E-5;3089;1297;5.5004E-5;2803;1086;
5.4418E-5;3170;1489;5.2955E-5;3089;1297;5.1493E-5;2803;1086;
5.3248E-5;3170;1489;5.237E-5;3089;1297;5.0908E-5;2803;1086;
5.2078E-5;3170;1489;5.1493E-5;3089;1297;5.0615E-5;2803;1086;
5.2956E-5;3170;1489;5.0615E-5;3089;1297;5.0907E-5;2803;1086;
5.1785E-5;3170;1489;5.1493E-5;3089;1297;5.0323E-5;2803;1086;
5.2956E-5;3170;1489;5.1493E-5;3089;1297;5.12E-5;2803;1086;
5.1492E-5;3170;1489;5.12E-5;3089;1297;5.0322E-5;2803;1086;
5.12E-5;3170;1489;5.0907E-5;3089;1297;5.0322E-5;2803;1086;
5.12E-5;3170;1489;6.7292E-5;3089;1297;5.2663E-5;2803;1086;
5.2077E-5;3170;1489;5.1785E-5;3089;1297;5.0615E-5;2803;1086;
5.12E-5;3170;1489;5.0615E-5;3089;1297;5.0615E-5;2803;1086;
5.0907E-5;3170;1489;5.2078E-5;3089;1297;5.0322E-5;2803;1086;
