insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
118,386664307;15869952574;251949;59,789119565;23804613925;0;0,046016788;755850;125974;
151,558775531;15869952574;251949;52,015284219;23804613925;0;0,035528984;755850;125974;
158,548044014;15869952574;251949;64,745881913;23804613925;0;0,044436903;755850;125974;
316,341651331;15869952574;251949;49,716463574;23804613925;0;0,046397423;755850;125974;
214,864142166;15869952574;251949;47,931103843;23804613925;0;0,056588267;755850;125974;
224,195723193;15869952574;251949;48,832383549;23804613925;0;0,032411929;755850;125974;
150,341685854;15869952574;251949;49,889457778;23804613925;0;0,030587747;755850;125974;
157,402726472;15869952574;251949;48,146286539;23804613925;0;0,031297525;755850;125974;
150,053932012;15869952574;251949;48,196387914;23804613925;0;0,030834677;755850;125974;
150,716208451;15869952574;251949;50,170800504;23804613925;0;0,031226137;755850;125974;
