insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
0,14069989;10880514;3193751;0,045555988;5575015;0;0,0676027;9794607;2772111;
0,101564964;10880514;3193751;0,051329005;5575015;0;0,089571295;9794607;2772111;
0,104231459;10880514;3193751;0,05213504;5575015;0;0,089832854;9794607;2772111;
0,101605046;10880514;3193751;0,052889874;5575015;0;0,105308122;9794607;2772111;
0,136885637;10880514;3193751;0,074998318;5575015;0;0,073058863;9794607;2772111;
0,106477237;10880514;3193751;0,052174829;5575015;0;0,09402862;9794607;2772111;
0,101944429;10880514;3193751;0,051826669;5575015;0;0,091781087;9794607;2772111;
0,103875692;10880514;3193751;0,051845687;5575015;0;0,088435533;9794607;2772111;
0,100841142;10880514;3193751;0,051935506;5575015;0;0,090909809;9794607;2772111;
0,101434185;10880514;3193751;0,052279277;5575015;0;0,090000497;9794607;2772111;
0,101430381;10880514;3193751;0,055394283;5575015;0;0,10063488;9794607;2772111;
0,104939189;10880514;3193751;0,051880795;5575015;0;0,088714647;9794607;2772111;
0,104021393;10880514;3193751;0,050689737;5575015;0;0,087464782;9794607;2772111;
0,114357059;10880514;3193751;0,045225967;5575015;0;0,069425712;9794607;2772111;
0,104301383;10880514;3193751;0,051436087;5575015;0;0,087037335;9794607;2772111;
0,101110893;10880514;3193751;0,051714322;5575015;0;0,088027103;9794607;2772111;
0,101946185;10880514;3193751;0,051712859;5575015;0;0,088793348;9794607;2772111;
0,103686399;10880514;3193751;0,063748365;5575015;0;0,065690747;9794607;2772111;
0,104811043;10880514;3193751;0,05086645;5575015;0;0,08862629;9794607;2772111;
0,102550052;10880514;3193751;0,051123035;5575015;0;0,087640032;9794607;2772111;
0,102032493;10880514;3193751;0,050976456;5575015;0;0,087169285;9794607;2772111;
0,102410495;10880514;3193751;0,050769024;5575015;0;0,089752397;9794607;2772111;
0,09561377;10880514;3193751;0,051250888;5575015;0;0,086809129;9794607;2772111;
0,103250468;10880514;3193751;0,051927314;5575015;0;0,092753008;9794607;2772111;
0,10189791;10880514;3193751;0,050693833;5575015;0;0,096777035;9794607;2772111;
0,111733865;10880514;3193751;0,055408619;5575015;0;0,095744843;9794607;2772111;
0,109640225;10880514;3193751;0,058585067;5575015;0;0,070044208;9794607;2772111;
0,113604859;10880514;3193751;0,055465671;5575015;0;0,094958703;9794607;2772111;
0,104255742;10880514;3193751;0,050572123;5575015;0;0,086099937;9794607;2772111;
0,105401744;10880514;3193751;0,051584713;5575015;0;0,088875853;9794607;2772111;
0,102691949;10880514;3193751;0,051036434;5575015;0;0,085431119;9794607;2772111;
0,102179071;10880514;3193751;0,050745911;5575015;0;0,091221397;9794607;2772111;
0,103399386;10880514;3193751;0,051433746;5575015;0;0,087700887;9794607;2772111;
0,102273279;10880514;3193751;0,052001627;5575015;0;0,091863884;9794607;2772111;
0,102919276;10880514;3193751;0,051251181;5575015;0;0,088881119;9794607;2772111;
0,117955394;10880514;3193751;0,044804372;5575015;0;0,066769164;9794607;2772111;
0,109895055;10880514;3193751;0,051323154;5575015;0;0,086394264;9794607;2772111;
0,104441233;10880514;3193751;0,051100215;5575015;0;0,086845993;9794607;2772111;
0,112638204;10880514;3193751;0,053262316;5575015;0;0,093334933;9794607;2772111;
0,107515865;10880514;3193751;0,051888401;5575015;0;0,087304453;9794607;2772111;
0,104634915;10880514;3193751;0,052861787;5575015;0;0,091320871;9794607;2772111;
0,103241398;10880514;3193751;0,051922925;5575015;0;0,091437315;9794607;2772111;
0,105458796;10880514;3193751;0,051269905;5575015;0;0,088346592;9794607;2772111;
0,103567615;10880514;3193751;0,052065992;5575015;0;0,087996384;9794607;2772111;
0,104060597;10880514;3193751;0,060224343;5575015;0;0,067649803;9794607;2772111;
0,11071718;10880514;3193751;0,053410065;5575015;0;0,098240476;9794607;2772111;
0,109568252;10880514;3193751;0,052279569;5575015;0;0,095137758;9794607;2772111;
0,109142269;10880514;3193751;0,050776923;5575015;0;0,091113146;9794607;2772111;
0,103759249;10880514;3193751;0,052572141;5575015;0;0,089951638;9794607;2772111;
0,096528056;10880514;3193751;0,047423178;5575015;0;0,083800033;9794607;2772111;
0,102626705;10880514;3193751;0,05044544;5575015;0;0,090280781;9794607;2772111;
0,104025489;10880514;3193751;0,051621284;5575015;0;0,089447245;9794607;2772111;
0,102802834;10880514;3193751;0,050678911;5575015;0;0,092174888;9794607;2772111;
0,102834139;10880514;3193751;0,051331638;5575015;0;0,081671869;9794607;2772111;
0,103392072;10880514;3193751;0,052390454;5575015;0;0,087330492;9794607;2772111;
0,105137845;10880514;3193751;0,052579162;5575015;0;0,088301243;9794607;2772111;
0,103281187;10880514;3193751;0,051525906;5575015;0;0,087340438;9794607;2772111;
0,101819209;10880514;3193751;0,051047259;5575015;0;0,087205271;9794607;2772111;
0,103191075;10880514;3193751;0,061739571;5575015;0;0,064418061;9794607;2772111;
0,103255441;10880514;3193751;0,051489334;5575015;0;0,093734585;9794607;2772111;
0,10289587;10880514;3193751;0,051955693;5575015;0;0,087597901;9794607;2772111;
0,102702774;10880514;3193751;0,050720164;5575015;0;0,087442546;9794607;2772111;
0,10321887;10880514;3193751;0,051541412;5575015;0;0,086357692;9794607;2772111;
0,114226281;10880514;3193751;0,04548343;5575015;0;0,066966065;9794607;2772111;
0,101769471;10880514;3193751;0,050981138;5575015;0;0,087426454;9794607;2772111;
0,105057973;10880514;3193751;0,073390346;5575015;0;0,121116335;9794607;2772111;
0,114524703;10880514;3193751;0,053289818;5575015;0;0,089465384;9794607;2772111;
0,102517869;10880514;3193751;0,050776923;5575015;0;0,087850683;9794607;2772111;
0,099527497;10880514;3193751;0,046192331;5575015;0;0,077443922;9794607;2772111;
0,108951512;10880514;3193751;0,052492269;5575015;0;0,092236913;9794607;2772111;
0,103779437;10880514;3193751;0,052872611;5575015;0;0,089339286;9794607;2772111;
0,105067628;10880514;3193751;0,055839577;5575015;0;0,088009257;9794607;2772111;
0,103721507;10880514;3193751;0,051384302;5575015;0;0,094170516;9794607;2772111;
0,098396416;10880514;3193751;0,049795054;5575015;0;0,089805352;9794607;2772111;
0,106818082;10880514;3193751;0,052038198;5575015;0;0,094542667;9794607;2772111;
0,105614736;10880514;3193751;0,052062481;5575015;0;0,095222896;9794607;2772111;
0,105290275;10880514;3193751;0,05123392;5575015;0;0,093177822;9794607;2772111;
0,105117072;10880514;3193751;0,05086762;5575015;0;0,087041431;9794607;2772111;
0,097278794;10880514;3193751;0,047544011;5575015;0;0,089428813;9794607;2772111;
0,1043283;10880514;3193751;0,052992273;5575015;0;0,088116924;9794607;2772111;
