insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
0,172896778;1637666;755845;0,096313601;6135476;2492963;0,05966758;5615808;2105212;
0,082883407;1637666;755845;0,082581473;6135476;2492963;0,044788573;5615808;2105212;
0,076818404;1637666;755845;0,090683358;6135476;2492963;0,045396829;5615808;2105212;
0,057446672;1637666;755845;0,051742116;6135476;2492963;0,048749989;5615808;2105212;
0,064022797;1637666;755845;0,130208574;6135476;2492963;0,044775407;5615808;2105212;
0,030947317;1637666;755845;0,069186681;6135476;2492963;0,068080468;5615808;2105212;
0,030459307;1637666;755845;0,072231471;6135476;2492963;0,069810443;5615808;2105212;
0,046934291;1637666;755845;0,121203229;6135476;2492963;0,108816929;5615808;2105212;
0,031370082;1637666;755845;0,06937422;6135476;2492963;0,066305732;5615808;2105212;
0,030544154;1637666;755845;0,069249877;6135476;2492963;0,065907834;5615808;2105212;
0,031025141;1637666;755845;0,069091303;6135476;2492963;0,065173188;5615808;2105212;
0,031305717;1637666;755845;0,070567618;6135476;2492963;0,067847583;5615808;2105212;
0,033734643;1637666;755845;0,066414275;6135476;2492963;0,064366861;5615808;2105212;
0,030872126;1637666;755845;0,069209209;6135476;2492963;0,065747505;5615808;2105212;
0,038448553;1637666;755845;0,068527226;6135476;2492963;0,06234139;5615808;2105212;
0,030938833;1637666;755845;0,07025164;6135476;2492963;0,066955824;5615808;2105212;
0,043330106;1637666;755845;0,060136573;6135476;2492963;0,058039714;5615808;2105212;
0,030828533;1637666;755845;0,069559124;6135476;2492963;0,065835862;5615808;2105212;
0,048263443;1637666;755845;0,058166397;6135476;2492963;0,054368529;5615808;2105212;
0,030600327;1637666;755845;0,067600067;6135476;2492963;0,065203323;5615808;2105212;
0,054738339;1637666;755845;0,052740955;6135476;2492963;0,050011849;5615808;2105212;
0,031209461;1637666;755845;0,069513483;6135476;2492963;0,065261545;5615808;2105212;
0,063296927;1637666;755845;0,049472055;6135476;2492963;0,046576477;5615808;2105212;
0,0306644;1637666;755845;0,066991518;6135476;2492963;0,06621796;5615808;2105212;
0,066367171;1637666;755845;0,045175645;6135476;2492963;0,043422558;5615808;2105212;
0,030905186;1637666;755845;0,069496807;6135476;2492963;0,067147167;5615808;2105212;
0,030862764;1637666;755845;0,070439472;6135476;2492963;0,045018534;5615808;2105212;
0,030640995;1637666;755845;0,068844665;6135476;2492963;0,065034217;5615808;2105212;
0,031225844;1637666;755845;0,074029321;6135476;2492963;0,04520344;5615808;2105212;
0,030736373;1637666;755845;0,067794626;6135476;2492963;0,066649502;5615808;2105212;
0,030784354;1637666;755845;0,076586102;6135476;2492963;0,044625904;5615808;2105212;
0,030718818;1637666;755845;0,069873639;6135476;2492963;0,067070513;5615808;2105212;
0,030862179;1637666;755845;0,082842447;6135476;2492963;0,043771303;5615808;2105212;
0,030433854;1637666;755845;0,06931629;6135476;2492963;0,066509653;5615808;2105212;
0,031813621;1637666;755845;0,089250637;6135476;2492963;0,043700501;5615808;2105212;
0,030502901;1637666;755845;0,068507038;6135476;2492963;0,066571972;5615808;2105212;
0,031140121;1637666;755845;0,090272004;6135476;2492963;0,042969657;5615808;2105212;
0,030644506;1637666;755845;0,072969628;6135476;2492963;0,068110604;5615808;2105212;
0,030639239;1637666;755845;0,092403971;6135476;2492963;0,042536067;5615808;2105212;
0,031420989;1637666;755845;0,069887097;6135476;2492963;0,065502915;5615808;2105212;
0,030680199;1637666;755845;0,099437385;6135476;2492963;0,042781827;5615808;2105212;
0,030748953;1637666;755845;0,068078713;6135476;2492963;0,065977174;5615808;2105212;
0,030508167;1637666;755845;0,100126391;6135476;2492963;0,042192003;5615808;2105212;
0,030912501;1637666;755845;0,070363988;6135476;2492963;0,066285544;5615808;2105212;
0,030751002;1637666;755845;0,067852263;6135476;2492963;0,068110896;5615808;2105212;
0,030604423;1637666;755845;0,06835139;6135476;2492963;0,066262431;5615808;2105212;
0,030455505;1637666;755845;0,069118804;6135476;2492963;0,067201;5615808;2105212;
0,030440875;1637666;755845;0,069733497;6135476;2492963;0,067306033;5615808;2105212;
0,030971893;1637666;755845;0,067475139;6135476;2492963;0,067723239;5615808;2105212;
0,0305187;1637666;755845;0,069211257;6135476;2492963;0,0649561;5615808;2105212;
0,030763874;1637666;755845;0,072225912;6135476;2492963;0,067882984;5615808;2105212;
0,030679614;1637666;755845;0,069825949;6135476;2492963;0,06653657;5615808;2105212;
0,030811564;1637666;755845;0,069440341;6135476;2492963;0,066023692;5615808;2105212;
0,030412204;1637666;755845;0,071030758;6135476;2492963;0,06667993;5615808;2105212;
0,030957849;1637666;755845;0,068544779;6135476;2492963;0,065766522;5615808;2105212;
0,030538302;1637666;755845;0,06867351;6135476;2492963;0,066119949;5615808;2105212;
0,030638654;1637666;755845;0,071277981;6135476;2492963;0,067323295;5615808;2105212;
0,030501145;1637666;755845;0,068813067;6135476;2492963;0,064941179;5615808;2105212;
0,030431806;1637666;755845;0,068153026;6135476;2492963;0,065495309;5615808;2105212;
0,030593306;1637666;755845;0,069316875;6135476;2492963;0,066154472;5615808;2105212;
0,031041817;1637666;755845;0,069158887;6135476;2492963;0,066547395;5615808;2105212;
