insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
0,53859045;116327704;58495699;0,365299579;71093137;31892857;2,270177327;531003874;36817366;
0,463463694;116327704;58495699;0,574460864;71093137;31892857;2,201507035;531003874;36817366;
0,464809814;116327704;58495699;0,359721414;71093137;31892857;2,14125636;531003874;36817366;
0,727987958;116327704;58495699;0,293840789;71093137;31892857;3,233081332;531003874;36817366;
0,494222594;116327704;58495699;0,301837933;71093137;31892857;6,876602193;531003874;36817366;
0,483934323;116327704;58495699;0,305095715;71093137;31892857;5,693092977;531003874;36817366;
0,467986554;116327704;58495699;0,357051115;71093137;31892857;2,080884268;531003874;36817366;
0,467971633;116327704;58495699;0,346156637;71093137;31892857;2,133382095;531003874;36817366;
0,598762131;116327704;58495699;0,318855636;71093137;31892857;5,087210537;531003874;36817366;
0,482005108;116327704;58495699;0,307426923;71093137;31892857;7,198219118;531003874;36817366;
0,471883896;116327704;58495699;0,30823793;71093137;31892857;2,948227456;531003874;36817366;
0,468631381;116327704;58495699;0,356877913;71093137;31892857;2,083292714;531003874;36817366;
0,521852444;116327704;58495699;0,2968414;71093137;31892857;3,413047511;531003874;36817366;
0,47528299;116327704;58495699;0,301403172;71093137;31892857;6,957031805;531003874;36817366;
0,465602097;116327704;58495699;0,306478407;71093137;31892857;3,65605491;531003874;36817366;
0,465169677;116327704;58495699;0,350518583;71093137;31892857;2,082313186;531003874;36817366;
0,513819314;116327704;58495699;0,293188062;71093137;31892857;3,1049427;531003874;36817366;
0,475291474;116327704;58495699;0,300835584;71093137;31892857;6,797270017;531003874;36817366;
0,469777675;116327704;58495699;0,310884531;71093137;31892857;3,237579616;531003874;36817366;
0,465040946;116327704;58495699;0,356147948;71093137;31892857;2,079040484;531003874;36817366;
0,505419591;116327704;58495699;0,296506406;71093137;31892857;4,03328028;531003874;36817366;
0,472715969;116327704;58495699;0,300227035;71093137;31892857;6,780102517;531003874;36817366;
0,480795326;116327704;58495699;0,363719401;71093137;31892857;2,10138357;531003874;36817366;
0,463584526;116327704;58495699;0,344094887;71093137;31892857;2,104483656;531003874;36817366;
0,497584239;116327704;58495699;0,297061707;71093137;31892857;4,704281196;531003874;36817366;
0,48092552;116327704;58495699;0,303272411;71093137;31892857;6,545209291;531003874;36817366;
0,478379565;116327704;58495699;0,366122582;71093137;31892857;2,12757514;531003874;36817366;
0,475923428;116327704;58495699;0,354350682;71093137;31892857;2,132541538;531003874;36817366;
0,508924596;116327704;58495699;0,301475144;71093137;31892857;5,156470068;531003874;36817366;
0,469720038;116327704;58495699;0,305043637;71093137;31892857;6,397090378;531003874;36817366;
0,46708163;116327704;58495699;0,364860721;71093137;31892857;2,099626972;531003874;36817366;
0,467894686;116327704;58495699;0,342014412;71093137;31892857;2,101679359;531003874;36817366;
0,49535543;116327704;58495699;0,301868361;71093137;31892857;5,45479422;531003874;36817366;
0,464694249;116327704;58495699;0,302966965;71093137;31892857;6,399432412;531003874;36817366;
0,468213881;116327704;58495699;0,363025421;71093137;31892857;2,085441944;531003874;36817366;
0,464158258;116327704;58495699;0,351006299;71093137;31892857;2,1240991;531003874;36817366;
0,515267835;116327704;58495699;0,300723821;71093137;31892857;5,031739892;531003874;36817366;
0,473927214;116327704;58495699;0,304844689;71093137;31892857;6,82966088;531003874;36817366;
0,468111774;116327704;58495699;0,361324412;71093137;31892857;2,107758699;531003874;36817366;
0,464676401;116327704;58495699;0,351713444;71093137;31892857;2,090018345;531003874;36817366;
0,501038336;116327704;58495699;0,297775873;71093137;31892857;4,449722789;531003874;36817366;
0,472677057;116327704;58495699;0,303682302;71093137;31892857;6,85988379;531003874;36817366;
0,46685518;116327704;58495699;0,303525192;71093137;31892857;2,726044407;531003874;36817366;
0,46379664;116327704;58495699;0,346071206;71093137;31892857;2,079005667;531003874;36817366;
0,510882191;116327704;58495699;0,293986781;71093137;31892857;3,778260195;531003874;36817366;
0,471163;116327704;58495699;0,301914587;71093137;31892857;6,885395718;531003874;36817366;
0,467970755;116327704;58495699;0,306400583;71093137;31892857;3,027231076;531003874;36817366;
0,465927729;116327704;58495699;0,350638537;71093137;31892857;2,188446944;531003874;36817366;
0,527236342;116327704;58495699;0,294777602;71093137;31892857;3,406608308;531003874;36817366;
0,469971357;116327704;58495699;0,302649233;71093137;31892857;6,838174999;531003874;36817366;
0,485159905;116327704;58495699;0,313071209;71093137;31892857;3,289117517;531003874;36817366;
0,46505733;116327704;58495699;0,352893384;71093137;31892857;2,091855985;531003874;36817366;
0,524758556;116327704;58495699;0,290480021;71093137;31892857;3,665551482;531003874;36817366;
0,467662677;116327704;58495699;0,302288786;71093137;31892857;6,776158948;531003874;36817366;
0,466015208;116327704;58495699;0,305134335;71093137;31892857;2,692149726;531003874;36817366;
0,463032151;116327704;58495699;0,351219291;71093137;31892857;2,069242855;531003874;36817366;
0,503768611;116327704;58495699;0,29299555;71093137;31892857;3,831626082;531003874;36817366;
0,466233758;116327704;58495699;0,300365129;71093137;31892857;6,725128073;531003874;36817366;
0,466849621;116327704;58495699;0,304157146;71093137;31892857;2,45200543;531003874;36817366;
0,460679585;116327704;58495699;0,351580909;71093137;31892857;2,073954423;531003874;36817366;
0,499367754;116327704;58495699;0,295158237;71093137;31892857;4,436852869;531003874;36817366;
0,467181689;116327704;58495699;0,302812488;71093137;31892857;6,553323172;531003874;36817366;
0,462197152;116327704;58495699;0,364019286;71093137;31892857;2,181562155;531003874;36817366;
0,47931433;116327704;58495699;0,360778181;71093137;31892857;2,117635029;531003874;36817366;
0,503276799;116327704;58495699;0,297392897;71093137;31892857;5,449465033;531003874;36817366;
0,492540017;116327704;58495699;0,30448424;71093137;31892857;6,702213595;531003874;36817366;
0,477341228;116327704;58495699;0,372502685;71093137;31892857;2,123405121;531003874;36817366;
0,473802871;116327704;58495699;0,363542688;71093137;31892857;2,130041223;531003874;36817366;
0,521554899;116327704;58495699;0,303600382;71093137;31892857;4,938087812;531003874;36817366;
0,482118626;116327704;58495699;0,304969617;71093137;31892857;6,84924736;531003874;36817366;
0,478056859;116327704;58495699;0,385168097;71093137;31892857;2,154386083;531003874;36817366;
0,478316661;116327704;58495699;0,35197471;71093137;31892857;2,126225215;531003874;36817366;
0,514266948;116327704;58495699;0,30139381;71093137;31892857;4,783182708;531003874;36817366;
0,49641366;116327704;58495699;0,30695325;71093137;31892857;7,002004991;531003874;36817366;
0,478672428;116327704;58495699;0,306771271;71093137;31892857;2,418118942;531003874;36817366;
0,469792304;116327704;58495699;0,353065124;71093137;31892857;2,083122439;531003874;36817366;
0,50318932;116327704;58495699;0,3237407;71093137;31892857;4,58099486;531003874;36817366;
0,488154373;116327704;58495699;0,31098342;71093137;31892857;7,130789328;531003874;36817366;
0,483178612;116327704;58495699;0,315746481;71093137;31892857;2,492661726;531003874;36817366;
0,466014622;116327704;58495699;0,351177745;71093137;31892857;2,131512565;531003874;36817366;
0,514004804;116327704;58495699;0,295410141;71093137;31892857;4,170912267;531003874;36817366;
0,477627071;116327704;58495699;0,299648914;71093137;31892857;7,174816924;531003874;36817366;
0,504664757;116327704;58495699;0,339282381;71093137;31892857;2,737301088;531003874;36817366;
0,480177415;116327704;58495699;0,349270473;71093137;31892857;2,09330158;531003874;36817366;
0,502410202;116327704;58495699;0,293298361;71093137;31892857;4,32646015;531003874;36817366;
0,514505101;116327704;58495699;0,316326357;71093137;31892857;7,424953993;531003874;36817366;
0,466916035;116327704;58495699;0,305794083;71093137;31892857;2,34654839;531003874;36817366;
0,463719109;116327704;58495699;0,365228776;71093137;31892857;2,850183003;531003874;36817366;
0,608618273;116327704;58495699;0,308069995;71093137;31892857;4,40867474;531003874;36817366;
0,48136584;116327704;58495699;0,303898805;71093137;31892857;6,722767023;531003874;36817366;
0,467007902;116327704;58495699;0,30480607;71093137;31892857;2,238724448;531003874;36817366;
0,462978317;116327704;58495699;0,354800949;71093137;31892857;2,09442008;531003874;36817366;
0,503594531;116327704;58495699;0,299262135;71093137;31892857;4,556516003;531003874;36817366;
0,489389901;116327704;58495699;0,302164443;71093137;31892857;6,63012958;531003874;36817366;
0,461329679;116327704;58495699;0,358224326;71093137;31892857;2,23512699;531003874;36817366;
0,464154747;116327704;58495699;0,346519425;71093137;31892857;2,093595614;531003874;36817366;
0,49830689;116327704;58495699;0,298411631;71093137;31892857;5,064444099;531003874;36817366;
0,482975567;116327704;58495699;0,305859619;71093137;31892857;6,871447965;531003874;36817366;
0,468144834;116327704;58495699;0,35944786;71093137;31892857;2,087746528;531003874;36817366;
0,4644441;116327704;58495699;0,351535268;71093137;31892857;2,084695887;531003874;36817366;
